file_name,timestamp,period,mm_5min,mm_hr,category,recorder,location,file_path,extension,year,month,day,hour,minute,second,wet
SMM11307_20240524_014500_0-6_moderate_night.wav,2024-05-24 01:45:00,overnight,0.6,7.2,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240524_014500_0-6_moderate_night.wav,.wav,2024,05,24,01,45,00,
SMM11307_20240122_021500_1-4_heavy_night.wav,2024-01-22 02:15:00,overnight,1.4,16.8,heavy,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\heavy\SMM11307_20240122_021500_1-4_heavy_night.wav,.wav,2024,01,22,02,15,00,
SMM11307_20240113_071500_4-0_heavy_morning.wav,2024-01-13 07:15:00,morning,4.0,48.0,heavy,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\heavy\SMM11307_20240113_071500_4-0_heavy_morning.wav,.wav,2024,01,13,07,15,00,
SMM11307_20240120_140000_0-0_no-rain_afternoon.wav,2024-01-20 14:00:00,afternoon,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240120_140000_0-0_no-rain_afternoon.wav,.wav,2024,01,20,14,00,00,
SMM11307_20240113_043500_0-2_light_night.wav,2024-01-13 04:35:00,overnight,0.2,2.4,light,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\light\SMM11307_20240113_043500_0-2_light_night.wav,.wav,2024,01,13,04,35,00,
SMM11307_20240114_034000_0-0_no-rain_night.wav,2024-01-14 03:40:00,overnight,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240114_034000_0-0_no-rain_night.wav,.wav,2024,01,14,03,40,00,
SMM11307_20240122_025500_0-2_light_night.wav,2024-01-22 02:55:00,overnight,0.2,2.4,light,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\light\SMM11307_20240122_025500_0-2_light_night.wav,.wav,2024,01,22,02,55,00,
SMM11307_20240113_062500_0-6_moderate_morning.wav,2024-01-13 06:25:00,morning,0.6,7.2,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240113_062500_0-6_moderate_morning.wav,.wav,2024,01,13,06,25,00,
SMM11307_20240519_191500_0-4_moderate_night.wav,2024-05-19 19:15:00,night,0.4,4.8,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240519_191500_0-4_moderate_night.wav,.wav,2024,05,19,19,15,00,
SMM11307_20240113_080500_0-6_moderate_morning.wav,2024-01-13 08:05:00,morning,0.6,7.2,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240113_080500_0-6_moderate_morning.wav,.wav,2024,01,13,08,05,00,
SMM11307_20240524_170000_0-0_no-rain_afternoon.wav,2024-05-24 17:00:00,afternoon,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240524_170000_0-0_no-rain_afternoon.wav,.wav,2024,05,24,17,00,00,
SMM11307_20240518_162500_1-0_heavy_afternoon.wav,2024-05-18 16:25:00,afternoon,1.0,12.0,heavy,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\heavy\SMM11307_20240518_162500_1-0_heavy_afternoon.wav,.wav,2024,05,18,16,25,00,
SMM11307_20240519_190500_0-4_moderate_night.wav,2024-05-19 19:05:00,night,0.4,4.8,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240519_190500_0-4_moderate_night.wav,.wav,2024,05,19,19,05,00,
SMM11307_20240113_042500_0-2_light_night.wav,2024-01-13 04:25:00,overnight,0.2,2.4,light,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\light\SMM11307_20240113_042500_0-2_light_night.wav,.wav,2024,01,13,04,25,00,
SMM11307_20240117_113000_0-8_moderate_morning.wav,2024-01-17 11:30:00,morning,0.8,9.6,moderate,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\moderate\SMM11307_20240117_113000_0-8_moderate_morning.wav,.wav,2024,01,17,11,30,00,
SMM11307_20240113_175500_0-0_no-rain_afternoon.wav,2024-01-13 17:55:00,afternoon,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240113_175500_0-0_no-rain_afternoon.wav,.wav,2024,01,13,17,55,00,
SMM11307_20240112_133000_1-2_heavy_afternoon.wav,2024-01-12 13:30:00,afternoon,1.2,14.4,heavy,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\heavy\SMM11307_20240112_133000_1-2_heavy_afternoon.wav,.wav,2024,01,12,13,30,00,
SMM11307_20240521_164000_0-0_no-rain_afternoon.wav,2024-05-21 16:40:00,afternoon,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240521_164000_0-0_no-rain_afternoon.wav,.wav,2024,05,21,16,40,00,
SMM11307_20240526_042500_0-0_no-rain_night.wav,2024-05-26 04:25:00,overnight,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240526_042500_0-0_no-rain_night.wav,.wav,2024,05,26,04,25,00,
SMM11307_20240526_055500_0-2_light_night.wav,2024-05-26 05:55:00,overnight,0.2,2.4,light,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\light\SMM11307_20240526_055500_0-2_light_night.wav,.wav,2024,05,26,05,55,00,
SMM11307_20240113_052500_1-6_heavy_night.wav,2024-01-13 05:25:00,overnight,1.6,19.2,heavy,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\heavy\SMM11307_20240113_052500_1-6_heavy_night.wav,.wav,2024,01,13,05,25,00,
SMM11307_20240121_112500_0-0_no-rain_morning.wav,2024-01-21 11:25:00,morning,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240121_112500_0-0_no-rain_morning.wav,.wav,2024,01,21,11,25,00,
SMM11307_20240122_020000_0-2_light_night.wav,2024-01-22 02:00:00,overnight,0.2,2.4,light,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\light\SMM11307_20240122_020000_0-2_light_night.wav,.wav,2024,01,22,02,00,00,
SMM11307_20240122_083000_0-0_no-rain_morning.wav,2024-01-22 08:30:00,morning,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240122_083000_0-0_no-rain_morning.wav,.wav,2024,01,22,08,30,00,
SMM11307_20240121_074500_0-0_no-rain_morning.wav,2024-01-21 07:45:00,morning,0.0,0.0,no-rain,SMM11307,Chavascal,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\Chavascal\no_rain\SMM11307_20240121_074500_0-0_no-rain_morning.wav,.wav,2024,01,21,07,45,00,
