file_name,file_path,extension,location,recorder,year,month,day,hour,minute,second,category,mm_5min,mm_hr,timestamp,period
SMM08565UECE_20241219_134000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_134000.wav,.wav,UECE,SMM08565,2024,12,19,13,40,00,unlabeled,,,2024-12-19 13:40:00,afternoon
SMM08565UECE_20241219_134500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_134500.wav,.wav,UECE,SMM08565,2024,12,19,13,45,00,unlabeled,,,2024-12-19 13:45:00,afternoon
SMM08565UECE_20241219_135000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_135000.wav,.wav,UECE,SMM08565,2024,12,19,13,50,00,unlabeled,,,2024-12-19 13:50:00,afternoon
SMM08565UECE_20241219_135500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_135500.wav,.wav,UECE,SMM08565,2024,12,19,13,55,00,unlabeled,,,2024-12-19 13:55:00,afternoon
SMM08565UECE_20241219_140000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_140000.wav,.wav,UECE,SMM08565,2024,12,19,14,00,00,unlabeled,,,2024-12-19 14:00:00,afternoon
SMM08565UECE_20241219_140500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_140500.wav,.wav,UECE,SMM08565,2024,12,19,14,05,00,unlabeled,,,2024-12-19 14:05:00,afternoon
SMM08565UECE_20241219_141000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_141000.wav,.wav,UECE,SMM08565,2024,12,19,14,10,00,unlabeled,,,2024-12-19 14:10:00,afternoon
SMM08565UECE_20241219_141500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_141500.wav,.wav,UECE,SMM08565,2024,12,19,14,15,00,unlabeled,,,2024-12-19 14:15:00,afternoon
SMM08565UECE_20241219_142000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_142000.wav,.wav,UECE,SMM08565,2024,12,19,14,20,00,unlabeled,,,2024-12-19 14:20:00,afternoon
SMM08565UECE_20241219_142500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_142500.wav,.wav,UECE,SMM08565,2024,12,19,14,25,00,unlabeled,,,2024-12-19 14:25:00,afternoon
SMM08565UECE_20241219_143000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_143000.wav,.wav,UECE,SMM08565,2024,12,19,14,30,00,unlabeled,,,2024-12-19 14:30:00,afternoon
SMM08565UECE_20241219_143500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_143500.wav,.wav,UECE,SMM08565,2024,12,19,14,35,00,unlabeled,,,2024-12-19 14:35:00,afternoon
SMM08565UECE_20241219_144000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_144000.wav,.wav,UECE,SMM08565,2024,12,19,14,40,00,unlabeled,,,2024-12-19 14:40:00,afternoon
SMM08565UECE_20241219_144500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_144500.wav,.wav,UECE,SMM08565,2024,12,19,14,45,00,unlabeled,,,2024-12-19 14:45:00,afternoon
SMM08565UECE_20241219_145000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_145000.wav,.wav,UECE,SMM08565,2024,12,19,14,50,00,unlabeled,,,2024-12-19 14:50:00,afternoon
SMM08565UECE_20241219_145500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_145500.wav,.wav,UECE,SMM08565,2024,12,19,14,55,00,unlabeled,,,2024-12-19 14:55:00,afternoon
SMM08565UECE_20241219_150000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_150000.wav,.wav,UECE,SMM08565,2024,12,19,15,00,00,unlabeled,,,2024-12-19 15:00:00,afternoon
SMM08565UECE_20241219_150500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_150500.wav,.wav,UECE,SMM08565,2024,12,19,15,05,00,unlabeled,,,2024-12-19 15:05:00,afternoon
SMM08565UECE_20241219_151000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_151000.wav,.wav,UECE,SMM08565,2024,12,19,15,10,00,unlabeled,,,2024-12-19 15:10:00,afternoon
SMM08565UECE_20241219_151500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_151500.wav,.wav,UECE,SMM08565,2024,12,19,15,15,00,unlabeled,,,2024-12-19 15:15:00,afternoon
SMM08565UECE_20241219_152000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_152000.wav,.wav,UECE,SMM08565,2024,12,19,15,20,00,unlabeled,,,2024-12-19 15:20:00,afternoon
SMM08565UECE_20241219_152500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_152500.wav,.wav,UECE,SMM08565,2024,12,19,15,25,00,unlabeled,,,2024-12-19 15:25:00,afternoon
SMM08565UECE_20241219_153000.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_153000.wav,.wav,UECE,SMM08565,2024,12,19,15,30,00,unlabeled,,,2024-12-19 15:30:00,afternoon
SMM08565UECE_20241219_153500.wav,C:\Users\ggrmi\Documents\SI-Tarcisio\Sound-of-Rainfall\RAC-semiurban-forest-ML-2026\data\raw\audios\UECE\SMM08565UECE_20241219_153500.wav,.wav,UECE,SMM08565,2024,12,19,15,35,00,unlabeled,,,2024-12-19 15:35:00,afternoon
